"","RIVSEG","NA"
"1","JL1_6560_6440",1
"2","JL1_6760_6910",1
"3","JL1_6770_6850",1
"4","JL1_6910_6960",1
"5","JL1_6940_7200",1
"6","JL1_7080_7190",1
"7","JL1_7170_6800",1
"8","JL1_7190_7250",1
"9","JL1_7200_7250",1
"10","JL1_7530_7430",1
"11","JL2_6240_6520",1
"12","JL2_6440_6441",1
"13","JL2_6441_6520",1
"14","JL2_6850_6890",1
"15","JL2_7110_7120",1
"16","JL2_7120_6970",1
"17","JL2_7240_7350",1
"18","JL2_7250_7090",2
"19","JL2_7350_7090",1
"20","JL3_7020_7100",1
"21","JL3_7090_7150",3
"22","JL4_6520_6710",2
"23","JL4_6710_6740",2
"24","JL6_6740_7100",21
"25","JL6_6890_6990",17
"26","JL6_6960_6970",18
"27","JL6_6970_6740",19
"28","JL6_6990_6960",17
"29","JL6_7150_6890",16
"30","JL6_7160_7440",12
"31","JL6_7320_7150",13
"32","JL6_7430_7320",13
"33","JL6_7440_7430",12
"34","JL7_6800_7070",23
"35","JL7_7030_6800",22
"36","JL7_7070_0001",23
"37","JL7_7100_7030",22
"38","JU1_6290_6590",1
"39","JU1_6300_6650",1
"40","JU1_6340_6650",1
"41","JU1_6590_6600",1
"42","JU1_6880_7260",1
"43","JU1_7560_7500",1
"44","JU1_7630_7490",1
"45","JU1_7690_7490",1
"46","JU1_7750_7560",1
"47","JU2_6410_6640",1
"48","JU2_6600_6810",1
"49","JU2_6810_6900",1
"50","JU2_7140_7330",1
"51","JU2_7180_7380",1
"52","JU2_7360_7000",1
"53","JU2_7450_7360",1
"54","JU3_6380_6900",1
"55","JU3_6640_6790",1
"56","JU3_6650_7300",2
"57","JU3_6790_7260",1
"58","JU3_6900_6950",2
"59","JU3_6950_7330",2
"60","JU3_7400_7510",2
"61","JU3_7490_7400",2
"62","JU4_7000_7300",4
"63","JU4_7260_7380",2
"64","JU4_7330_7000",3
"65","JU4_7380_7160",3
"66","JU5_7300_7510",6
"67","JU5_7420_7160",9
"68","JU5_7500_7420",9
"69","JU5_7510_7500",8
