"","X","date","mod.flow"
"275",275,"1984-10-01",20.7897167929249
"276",276,"1984-10-02",26.6629028063122
"277",277,"1984-10-03",29.6784420807642
"278",278,"1984-10-04",32.7536595172978
"279",279,"1984-10-05",34.9472250060047
"280",280,"1984-10-06",34.3933575306866
"281",281,"1984-10-07",32.2681881287418
"282",282,"1984-10-08",29.4385033789604
"283",283,"1984-10-09",26.358103897209
"284",284,"1984-10-10",23.5846202562521
"285",285,"1984-10-11",21.4351751376322
"286",286,"1984-10-12",19.5039648053832
"287",287,"1984-10-13",17.6438013237738
"288",288,"1984-10-14",16.4788591436063
"289",289,"1984-10-15",15.5383529182011
"290",290,"1984-10-16",14.4114682680289
"291",291,"1984-10-17",13.19645028542
"292",292,"1984-10-18",11.9648124447146
"293",293,"1984-10-19",10.7612720789693
"294",294,"1984-10-20",9.60999188070111
"295",295,"1984-10-21",8.52740086970559
"296",296,"1984-10-22",7.53905500097921
"297",297,"1984-10-23",6.65893334116431
"298",298,"1984-10-24",6.02466259377453
"299",299,"1984-10-25",5.64376366599903
"300",300,"1984-10-26",5.50423583947845
"301",301,"1984-10-27",5.49517663558473
"302",302,"1984-10-28",5.48173227182507
"303",303,"1984-10-29",5.49598863636743
"304",304,"1984-10-30",5.42099772862836
"305",305,"1984-10-31",5.24249132706601
"306",306,"1984-11-01",5.00738971538536
"307",307,"1984-11-02",4.72832202838209
"308",308,"1984-11-03",4.42511741330803
"309",309,"1984-11-04",4.12142354096466
"310",310,"1984-11-05",3.84563811221481
"311",311,"1984-11-06",4.19892757499029
"312",312,"1984-11-07",4.55402357904352
"313",313,"1984-11-08",4.84763802725198
"314",314,"1984-11-09",5.00950597502204
"315",315,"1984-11-10",5.04746670394503
"316",316,"1984-11-11",5.34935927582663
"317",317,"1984-11-12",6.17645465061201
"318",318,"1984-11-13",6.830046898493
"319",319,"1984-11-14",7.46487762467385
"320",320,"1984-11-15",7.93324147590653
"321",321,"1984-11-16",8.15889884530555
"322",322,"1984-11-17",8.19804849983961
"323",323,"1984-11-18",8.08294667411011
"324",324,"1984-11-19",12.0160956071291
"325",325,"1984-11-20",24.0903846942665
"326",326,"1984-11-21",47.3576693189184
"327",327,"1984-11-22",66.1903706067829
"328",328,"1984-11-23",78.7469897772161
"329",329,"1984-11-24",83.0290810843073
"330",330,"1984-11-25",81.174021880156
"331",331,"1984-11-26",76.0791895673407
"332",332,"1984-11-27",70.0333515496784
"333",333,"1984-11-28",64.537559058474
"334",334,"1984-11-29",87.1126373457191
"335",335,"1984-11-30",107.620887004425
"336",336,"1984-12-01",119.193486551059
"337",337,"1984-12-02",118.270554694898
"338",338,"1984-12-03",193.614837878892
"339",339,"1984-12-04",235.045779017065
"340",340,"1984-12-05",242.428840595925
"341",341,"1984-12-06",262.745001019338
"342",342,"1984-12-07",315.728434929268
"343",343,"1984-12-08",327.199458548828
"344",344,"1984-12-09",311.429434632372
"345",345,"1984-12-10",289.367447292611
"346",346,"1984-12-11",267.681611792378
"347",347,"1984-12-12",248.637298839021
"348",348,"1984-12-13",230.981499112023
"349",349,"1984-12-14",213.670290017437
"350",350,"1984-12-15",196.033817986134
"351",351,"1984-12-16",177.947420467359
"352",352,"1984-12-17",161.375523979074
"353",353,"1984-12-18",146.035458167305
"354",354,"1984-12-19",131.734821006511
"355",355,"1984-12-20",118.673650000365
"356",356,"1984-12-21",106.45205344656
"357",357,"1984-12-22",96.1444715456757
"358",358,"1984-12-23",86.7444656076749
"359",359,"1984-12-24",77.6596061174102
"360",360,"1984-12-25",69.9674570992369
"361",361,"1984-12-26",63.0612879024276
"362",362,"1984-12-27",56.0334121716929
"363",363,"1984-12-28",49.2918731528133
"364",364,"1984-12-29",42.9245438011782
"365",365,"1984-12-30",37.149222254203
"366",366,"1984-12-31",32.7048670366633
"367",367,"1985-01-01",29.464440134317
"368",368,"1985-01-02",27.0109266395354
"369",369,"1985-01-03",52.3254857705896
"370",370,"1985-01-04",213.031993990131
"371",371,"1985-01-05",561.81671674049
"372",372,"1985-01-06",805.013065482191
"373",373,"1985-01-07",829.127702817409
"374",374,"1985-01-08",757.035987648497
"375",375,"1985-01-09",671.31857195003
"376",376,"1985-01-10",598.004955976166
"377",377,"1985-01-11",543.111744730241
"378",378,"1985-01-12",499.272906386321
"379",379,"1985-01-13",464.990502404867
"380",380,"1985-01-14",431.741255589825
"381",381,"1985-01-15",408.385570938477
"382",382,"1985-01-16",385.234882858081
"383",383,"1985-01-17",365.688026070381
"384",384,"1985-01-18",343.154499503025
"385",385,"1985-01-19",331.76844017339
"386",386,"1985-01-20",369.541633946136
"387",387,"1985-01-21",421.542291946713
"388",388,"1985-01-22",431.770737007234
"389",389,"1985-01-23",414.422296742615
"390",390,"1985-01-24",387.60203232897
"391",391,"1985-01-25",359.71896472098
"392",392,"1985-01-26",338.29727632789
"393",393,"1985-01-27",325.410377582632
"394",394,"1985-01-28",311.476745461986
"395",395,"1985-01-29",298.652546286098
"396",396,"1985-01-30",295.958541467023
"397",397,"1985-01-31",333.015559462098
"398",398,"1985-02-01",571.687724690939
"399",399,"1985-02-02",999.21602888826
"400",400,"1985-02-03",1330.86481742671
"401",401,"1985-02-04",1322.9380885734
"402",402,"1985-02-05",1192.01325284116
"403",403,"1985-02-06",1066.37854151403
"404",404,"1985-02-07",966.672585824865
"405",405,"1985-02-08",902.631729710081
"406",406,"1985-02-09",839.274744519526
"407",407,"1985-02-10",775.859850707351
"408",408,"1985-02-11",717.12549721558
"409",409,"1985-02-12",918.736136490532
"410",410,"1985-02-13",1508.92705744123
"411",411,"1985-02-14",1599.37660920505
"412",412,"1985-02-15",1438.44869794817
"413",413,"1985-02-16",1245.88575722391
"414",414,"1985-02-17",1076.59181200494
"415",415,"1985-02-18",947.135506801547
"416",416,"1985-02-19",850.905446348408
"417",417,"1985-02-20",774.146147648492
"418",418,"1985-02-21",708.314716065274
"419",419,"1985-02-22",649.262569576725
"420",420,"1985-02-23",595.952411754946
"421",421,"1985-02-24",547.756805306354
"422",422,"1985-02-25",503.089173435721
"423",423,"1985-02-26",607.414908498868
"424",424,"1985-02-27",759.297350076945
"425",425,"1985-02-28",761.617577229312
"426",426,"1985-03-01",702.527096503751
"427",427,"1985-03-02",661.90522497175
"428",428,"1985-03-03",631.603712076872
"429",429,"1985-03-04",584.746214355479
"430",430,"1985-03-05",534.095163013869
"431",431,"1985-03-06",485.463583949947
"432",432,"1985-03-07",443.164512310303
"433",433,"1985-03-08",404.845588514245
"434",434,"1985-03-09",368.269260478648
"435",435,"1985-03-10",334.900158345196
"436",436,"1985-03-11",307.183163750339
"437",437,"1985-03-12",282.934996474337
"438",438,"1985-03-13",258.358818652302
"439",439,"1985-03-14",234.786880590893
"440",440,"1985-03-15",213.455527933362
"441",441,"1985-03-16",192.63896401577
"442",442,"1985-03-17",178.51827484645
"443",443,"1985-03-18",164.988108417558
"444",444,"1985-03-19",152.097890791356
"445",445,"1985-03-20",138.820811356461
"446",446,"1985-03-21",124.997256608343
"447",447,"1985-03-22",123.212182292588
"448",448,"1985-03-23",218.768605297388
"449",449,"1985-03-24",335.333333589926
"450",450,"1985-03-25",433.014066523019
"451",451,"1985-03-26",482.933009653507
"452",452,"1985-03-27",481.20492069347
"453",453,"1985-03-28",452.847159789133
"454",454,"1985-03-29",416.903178322866
"455",455,"1985-03-30",405.043671997709
"456",456,"1985-03-31",411.270678040568
"457",457,"1985-04-01",397.236309219153
"458",458,"1985-04-02",370.903330328097
"459",459,"1985-04-03",341.26548497409
"460",460,"1985-04-04",310.565507522431
"461",461,"1985-04-05",280.554738963947
"462",462,"1985-04-06",250.603107480395
"463",463,"1985-04-07",220.076002843032
"464",464,"1985-04-08",193.73223427401
"465",465,"1985-04-09",177.649222929371
"466",466,"1985-04-10",164.475163214671
"467",467,"1985-04-11",152.959329736318
"468",468,"1985-04-12",139.8346502551
"469",469,"1985-04-13",125.021315891167
"470",470,"1985-04-14",109.692740090703
"471",471,"1985-04-15",96.5258028440454
"472",472,"1985-04-16",87.367109498215
"473",473,"1985-04-17",90.8143571838438
"474",474,"1985-04-18",94.7847994849696
"475",475,"1985-04-19",89.3920363990087
"476",476,"1985-04-20",78.1050364872011
"477",477,"1985-04-21",66.7042158435567
"478",478,"1985-04-22",56.4036771102877
"479",479,"1985-04-23",47.9906234951919
"480",480,"1985-04-24",41.3762391951315
"481",481,"1985-04-25",36.3319752256664
"482",482,"1985-04-26",32.2093763978164
"483",483,"1985-04-27",28.8730235915064
"484",484,"1985-04-28",25.9130688447628
"485",485,"1985-04-29",23.1824126275382
"486",486,"1985-04-30",20.7461376914873
"487",487,"1985-05-01",18.3741484140226
"488",488,"1985-05-02",16.6022148430804
"489",489,"1985-05-03",28.5657110065747
"490",490,"1985-05-04",56.2694842907319
"491",491,"1985-05-05",93.7830004219985
"492",492,"1985-05-06",120.072442480978
"493",493,"1985-05-07",126.203966538917
"494",494,"1985-05-08",116.376604597909
"495",495,"1985-05-09",99.983275681768
"496",496,"1985-05-10",83.4988059157023
"497",497,"1985-05-11",69.3185664360102
"498",498,"1985-05-12",58.5416833350946
"499",499,"1985-05-13",49.5594887827075
"500",500,"1985-05-14",45.6391494082076
"501",501,"1985-05-15",41.9701783173599
"502",502,"1985-05-16",38.2854135549451
"503",503,"1985-05-17",35.619753927235
"504",504,"1985-05-18",35.0645759958421
"505",505,"1985-05-19",36.1935516231884
"506",506,"1985-05-20",38.0053258014715
"507",507,"1985-05-21",37.5029887764314
"508",508,"1985-05-22",35.6938120362823
"509",509,"1985-05-23",56.6146057152029
"510",510,"1985-05-24",115.80359604431
"511",511,"1985-05-25",250.186490945363
"512",512,"1985-05-26",343.35865482092
"513",513,"1985-05-27",356.480029638703
"514",514,"1985-05-28",327.050098470077
"515",515,"1985-05-29",287.418654438737
"516",516,"1985-05-30",245.974091716558
"517",517,"1985-05-31",208.588537631769
"518",518,"1985-06-01",173.514658817026
"519",519,"1985-06-02",143.587164580683
"520",520,"1985-06-03",116.779047420528
"521",521,"1985-06-04",98.2733675988344
"522",522,"1985-06-05",123.679254983729
"523",523,"1985-06-06",343.999011494713
"524",524,"1985-06-07",471.892545962782
"525",525,"1985-06-08",458.791933498309
"526",526,"1985-06-09",401.90954042889
"527",527,"1985-06-10",341.106292227172
"528",528,"1985-06-11",286.946244968484
"529",529,"1985-06-12",243.307521951454
"530",530,"1985-06-13",247.140991531811
"531",531,"1985-06-14",233.990148707462
"532",532,"1985-06-15",212.473526021188
"533",533,"1985-06-16",187.848405330544
"534",534,"1985-06-17",166.003002688979
"535",535,"1985-06-18",147.901643964063
"536",536,"1985-06-19",145.518068883563
"537",537,"1985-06-20",139.276507892331
"538",538,"1985-06-21",124.644922999312
"539",539,"1985-06-22",108.028623963711
"540",540,"1985-06-23",91.2831316906939
"541",541,"1985-06-24",76.798997238038
"542",542,"1985-06-25",67.2417845576822
"543",543,"1985-06-26",59.3568589027616
"544",544,"1985-06-27",52.5632586465864
"545",545,"1985-06-28",47.8204234466213
"546",546,"1985-06-29",42.7135272140799
"547",547,"1985-06-30",41.282457478127
"548",548,"1985-07-01",41.9375105745947
"549",549,"1985-07-02",40.1898560226214
"550",550,"1985-07-03",37.346055040507
"551",551,"1985-07-04",33.8726436638715
"552",552,"1985-07-05",30.6025124871777
"553",553,"1985-07-06",29.431898110635
"554",554,"1985-07-07",48.9232850383689
"555",555,"1985-07-08",54.1303329060429
"556",556,"1985-07-09",51.5213707546937
"557",557,"1985-07-10",49.3641137146173
"558",558,"1985-07-11",81.5822127359507
"559",559,"1985-07-12",88.8338267047364
"560",560,"1985-07-13",82.5190739347793
"561",561,"1985-07-14",72.8532976886877
"562",562,"1985-07-15",64.1142147425354
"563",563,"1985-07-16",55.8630312128778
"564",564,"1985-07-17",69.6777378856038
"565",565,"1985-07-18",91.0136637411584
"566",566,"1985-07-19",90.2628473648345
"567",567,"1985-07-20",78.5821496843143
"568",568,"1985-07-21",68.3028120960208
"569",569,"1985-07-22",59.4467193903401
