"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0.0305,-Inf
"Med. 1 Day Min",0.89,1.53,-71.9
"Min. 3 Day Min",3.86e-14,0.0341,-8.83e+13
"Med. 3 Day Min",0.93,1.8,-93.5
"Min. 7 Day Min",0.03,0.0429,-43
"Med. 7 Day Min",1.08,2.43,-125
"Min. 30 Day Min",0.346,0.47,-35.8
"Med. 30 Day Min",2.25,5.36,-138
"Min. 90 Day Min",1.94,5.13,-164
"Med. 90 Day Min",18.9,19,-0.529
"7Q10",0.153,0.38,-148
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",15.4708493150685,27.3384290816448,-76.7
"Mean Baseflow",37.4,40.2,-7.49
