"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",163,77.5,-52.5
"Med. 1 Day Min",308,199,-35.4
"Min. 3 Day Min",165,79.4,-51.9
"Med. 3 Day Min",313,200,-36.1
"Min. 7 Day Min",168,83.3,-50.4
"Med. 7 Day Min",325,205,-36.9
"Min. 30 Day Min",185,106,-42.7
"Med. 30 Day Min",366,288,-21.3
"Min. 90 Day Min",215,183,-14.9
"Med. 90 Day Min",515,505,-1.94
"7Q10",231,108,-53.2
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",439.649315068493,410.947445656421,-6.53
"Mean Baseflow",820,884,7.8
