"","flow","rivseg","basin","river","DAsqmi","bascd","Upstream","Downstream","downseg","upseg"
"4",0,"EL0_4591_0000","Eastern Shore of Chesapeake Bay","Marshyhope Creek",87.10790253,"EL","4591","0000","NA","NA"
"5",0,"EL0_4592_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",15.28279972,"EL","4592","0000","NA","NA"
"6",0,"EL0_4593_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",24.35950089,"EL","4593","0000","NA","NA"
"7",0,"EL0_4594_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",28.63470078,"EL","4594","0000","NA","NA"
"8",0,"EL0_4595_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",23.70479965,"EL","4595","0000","NA","NA"
"9",0,"EL0_4596_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",9.27834034,"EL","4596","0000","NA","NA"
"10",2,"EL2_4630_0000","Eastern Shore of Chesapeake Bay","Nanticoke River",86.0684967,"EL","4630","0000","NA","NA"
"11",0,"EL0_4631_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",38.29130173,"EL","4631","0000","NA","NA"
"12",0,"EL0_4632_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",63.4178009,"EL","4632","0000","NA","NA"
"13",0,"EL0_4633_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",122.0289993,"EL","4633","0000","NA","NA"
"14",0,"EL0_5040_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",24.55349922,"EL","5040","0000","NA","NA"
"16",1,"EL1_5150_0001","Eastern Shore of Chesapeake Bay","Chicamwicomico River",16.31949997,"EL","5150","0001","NA","NA"
"17",0,"EL0_5151_0000","Eastern Shore of Chesapeake Bay","Chicamwicomico River",93.9693985,"EL","5151","0000","NA","NA"
"18",0,"EL0_5271_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",31.57889938,"EL","5271","0000","NA","NA"
"19",0,"EL0_5280_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",122.5469971,"EL","5280","0000","NA","NA"
"20",0,"EL0_5281_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",26.97400093,"EL","5281","0000","NA","NA"
"21",0,"EL0_5282_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",13.87609959,"EL","5282","0000","NA","NA"
"22",0,"EL0_5283_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",7.892749786,"EL","5283","0000","NA","NA"
"23",0,"EL0_5284_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",74.02729797,"EL","5284","0000","NA","NA"
"24",0,"EL0_5400_0001","Eastern Shore of Chesapeake Bay","Wicomico River",38.43259811,"EL","5400","0001","NA","NA"
"25",1,"EL1_5430_0001","Eastern Shore of Chesapeake Bay","Nassawango Creek",45.38090134,"EL","5430","0001","NA","NA"
"26",1,"EL1_5570_0001","Eastern Shore of Chesapeake Bay","Dividing Creek",62.14429855,"EL","5570","0001","NA","NA"
"27",0,"EL0_5590_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",56.35760117,"EL","5590","0000","NA","NA"
"28",1,"EL1_5660_0000","Eastern Shore of Chesapeake Bay","Nassawango Creek",23.12229919,"EL","5660","0000","NA","NA"
"29",0,"EL0_5760_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",59.35630035,"EL","5760","0000","NA","NA"
"30",0,"EL0_5761_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",54.05870056,"EL","5761","0000","NA","NA"
"31",0,"EL0_5762_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",31.05699921,"EL","5762","0000","NA","NA"
"32",0,"EL0_5763_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",30.74869919,"EL","5763","0000","NA","NA"
"33",3,"EL3_5870_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",55.96530151,"EL","5870","0000","NA","NA"
"34",0,"EL0_5890_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",234.5549927,"EL","5890","0000","NA","NA"
"35",0,"EL0_5891_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",6.013020039,"EL","5891","0000","NA","NA"
"36",0,"EL0_5892_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",12.22579956,"EL","5892","0000","NA","NA"
"37",0,"EL0_5893_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",7.135950089,"EL","5893","0000","NA","NA"
"38",3,"EL3_5972_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",50.7765007,"EL","5972","0000","NA","NA"
"39",3,"EL3_5970_0000","Eastern Shore of Chesapeake Bay","Pocomoke River",3.062819958,"EL","5970","0000","NA","NA"
"40",1,"EL1_6000_0001","Eastern Shore of Chesapeake Bay","Marumsco Creek",18.59970093,"EL","6000","0001","NA","NA"
"41",0,"EL0_6001_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",56.98619843,"EL","6001","0000","NA","NA"
"42",0,"EL0_6002_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",16.75569916,"EL","6002","0000","NA","NA"
"43",0,"EL0_6003_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",33.66989899,"EL","6003","0000","NA","NA"
"44",0,"EL0_6010_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",18.31100082,"EL","6010","0000","NA","NA"
"45",0,"EL0_6011_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",12.75640011,"EL","6011","0000","NA","NA"
"46",0,"EL0_6190_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",201.9589996,"EL","6190","0000","NA","NA"
"47",0,"EL0_6480_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",24.75079918,"EL","6480","0000","NA","NA"
"48",0,"EL0_6550_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",23.16130066,"EL","6550","0000","NA","NA"
"49",0,"EL0_6610_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",76.99629974,"EL","6610","0000","NA","NA"
"50",0,"EL0_6920_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",26.58690071,"EL","6920","0000","NA","NA"
"51",0,"EL0_7060_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",18.15920067,"EL","7060","0000","NA","NA"
"52",0,"EL0_7220_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",15.55589962,"EL","7220","0000","NA","NA"
"53",2,"EM2_3980_0001","Eastern Shore of Chesapeake Bay","Choptank River",114.1869965,"EM","3980","0001","NA","NA"
"54",2,"EM2_4100_0001","Eastern Shore of Chesapeake Bay","Tuckahoe River",97.21589661,"EM","4100","0001","NA","NA"
"55",2,"EM2_4101_0000","Eastern Shore of Chesapeake Bay","Tuckahoe River",54.96879959,"EM","4101","0000","NA","NA"
"56",3,"EM3_4320_0000","Eastern Shore of Chesapeake Bay","Choptank River",35.74599838,"EM","4320","0000","NA","NA"
"57",3,"EM3_4321_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",28.59160042,"EM","4321","0000","NA","NA"
"58",0,"EM0_4322_0000","Eastern Shore of Chesapeake Bay","Drains to Tidal Water - No River Simulation",24.36680031,"EM","4322","0000","NA","NA"
