"","X","date","mod.flow"
"275",275,"1984-10-01",88.0420180725603
"276",276,"1984-10-02",122.073649509214
"277",277,"1984-10-03",144.388827267791
"278",278,"1984-10-04",152.7999090555
"279",279,"1984-10-05",148.595043543759
"280",280,"1984-10-06",139.687400871495
"281",281,"1984-10-07",129.240346428523
"282",282,"1984-10-08",118.783879263286
"283",283,"1984-10-09",108.992443027488
"284",284,"1984-10-10",100.148820166552
"285",285,"1984-10-11",92.2981792591326
"286",286,"1984-10-12",85.401058413014
"287",287,"1984-10-13",79.6963332989224
"288",288,"1984-10-14",75.0969674551881
"289",289,"1984-10-15",71.1545831265297
"290",290,"1984-10-16",67.5896244707838
"291",291,"1984-10-17",64.2199532689868
"292",292,"1984-10-18",61.715380493197
"293",293,"1984-10-19",61.7431574328953
"294",294,"1984-10-20",61.731453765699
"295",295,"1984-10-21",61.0176504819716
"296",296,"1984-10-22",59.7476823851571
"297",297,"1984-10-23",58.7454782441683
"298",298,"1984-10-24",65.4383106067618
"299",299,"1984-10-25",80.8014692384237
"300",300,"1984-10-26",91.9958651723806
"301",301,"1984-10-27",95.552080755596
"302",302,"1984-10-28",93.4390423326301
"303",303,"1984-10-29",96.5006153111009
"304",304,"1984-10-30",99.7909861106762
"305",305,"1984-10-31",99.269358436132
"306",306,"1984-11-01",95.9674518065546
"307",307,"1984-11-02",91.1365852671371
"308",308,"1984-11-03",85.7176684676345
"309",309,"1984-11-04",80.373836311608
"310",310,"1984-11-05",79.9390150271647
"311",311,"1984-11-06",97.4318510095018
"312",312,"1984-11-07",103.782797338513
"313",313,"1984-11-08",104.448213002832
"314",314,"1984-11-09",102.050235822269
"315",315,"1984-11-10",97.9401960162225
"316",316,"1984-11-11",103.507747887204
"317",317,"1984-11-12",112.136141906257
"318",318,"1984-11-13",112.42876258585
"319",319,"1984-11-14",108.641107129659
"320",320,"1984-11-15",102.801567628684
"321",321,"1984-11-16",96.0983663356513
"322",322,"1984-11-17",89.3308882724969
"323",323,"1984-11-18",83.1320297169558
"324",324,"1984-11-19",91.8559424091615
"325",325,"1984-11-20",114.221524581188
"326",326,"1984-11-21",136.469627089876
"327",327,"1984-11-22",143.317617441637
"328",328,"1984-11-23",141.661686375141
"329",329,"1984-11-24",135.499600353953
"330",330,"1984-11-25",127.655586298249
"331",331,"1984-11-26",119.584244164036
"332",332,"1984-11-27",111.908089833854
"333",333,"1984-11-28",108.815179503456
"334",334,"1984-11-29",139.821608180811
"335",335,"1984-11-30",225.65856523273
"336",336,"1984-12-01",262.356356576967
"337",337,"1984-12-02",261.227718751594
"338",338,"1984-12-03",930.080257444523
"339",339,"1984-12-04",961.131203190727
"340",340,"1984-12-05",786.982610081654
"341",341,"1984-12-06",895.628567595311
"342",342,"1984-12-07",1146.31420539861
"343",343,"1984-12-08",1031.42954284852
"344",344,"1984-12-09",823.11645045428
"345",345,"1984-12-10",648.789774569967
"346",346,"1984-12-11",537.756297474035
"347",347,"1984-12-12",472.565796760406
"348",348,"1984-12-13",415.724658315347
"349",349,"1984-12-14",370.812557983915
"350",350,"1984-12-15",336.881387539265
"351",351,"1984-12-16",312.16718346389
"352",352,"1984-12-17",295.976178690767
"353",353,"1984-12-18",284.309356523004
"354",354,"1984-12-19",276.186631588861
"355",355,"1984-12-20",269.020993843752
"356",356,"1984-12-21",261.676785793914
"357",357,"1984-12-22",261.988445599137
"358",358,"1984-12-23",276.640844260417
"359",359,"1984-12-24",283.636913400914
"360",360,"1984-12-25",276.274270988888
"361",361,"1984-12-26",260.924739542527
"362",362,"1984-12-27",243.099506781424
"363",363,"1984-12-28",225.518538646401
"364",364,"1984-12-29",209.389203429468
"365",365,"1984-12-30",195.063985707423
"366",366,"1984-12-31",183.48766196991
"367",367,"1985-01-01",173.527085021075
"368",368,"1985-01-02",164.800236584595
"369",369,"1985-01-03",263.422531186459
"370",370,"1985-01-04",1375.33055506761
"371",371,"1985-01-05",3772.38756526389
"372",372,"1985-01-06",3888.88196931827
"373",373,"1985-01-07",2926.43352033497
"374",374,"1985-01-08",2031.63511850811
"375",375,"1985-01-09",1461.98979187918
"376",376,"1985-01-10",1107.7608311417
"377",377,"1985-01-11",919.370876441445
"378",378,"1985-01-12",855.859774205245
"379",379,"1985-01-13",756.55119543339
"380",380,"1985-01-14",676.369235028892
"381",381,"1985-01-15",615.833976493524
"382",382,"1985-01-16",572.24677147889
"383",383,"1985-01-17",542.100098907635
"384",384,"1985-01-18",517.566323093217
"385",385,"1985-01-19",503.038168977833
"386",386,"1985-01-20",768.75935718698
"387",387,"1985-01-21",1081.31118478018
"388",388,"1985-01-22",1006.07799187551
"389",389,"1985-01-23",865.107295111387
"390",390,"1985-01-24",739.709570558022
"391",391,"1985-01-25",652.598396733479
"392",392,"1985-01-26",605.257991625308
"393",393,"1985-01-27",564.821551505906
"394",394,"1985-01-28",530.983955414373
"395",395,"1985-01-29",526.697684124227
"396",396,"1985-01-30",571.488318878267
"397",397,"1985-01-31",640.586961800373
"398",398,"1985-02-01",1608.38524257742
"399",399,"1985-02-02",4310.0657022825
"400",400,"1985-02-03",5492.93443755229
"401",401,"1985-02-04",4798.36121707646
"402",402,"1985-02-05",3605.06592860892
"403",403,"1985-02-06",2557.30579342957
"404",404,"1985-02-07",1989.34260487114
"405",405,"1985-02-08",1597.21072945223
"406",406,"1985-02-09",1322.30273328666
"407",407,"1985-02-10",1130.8405808077
"408",408,"1985-02-11",1004.63326987699
"409",409,"1985-02-12",1033.13623002024
"410",410,"1985-02-13",1403.91858245169
"411",411,"1985-02-14",1654.01190540253
"412",412,"1985-02-15",1599.10186289423
"413",413,"1985-02-16",1465.43819534245
"414",414,"1985-02-17",1308.57222551281
"415",415,"1985-02-18",1180.75105191592
"416",416,"1985-02-19",1141.48510390248
"417",417,"1985-02-20",1111.24940829528
"418",418,"1985-02-21",1072.08034590298
"419",419,"1985-02-22",1017.40634803158
"420",420,"1985-02-23",960.580716553436
"421",421,"1985-02-24",907.983776712789
"422",422,"1985-02-25",860.007608598029
"423",423,"1985-02-26",1310.81721809252
"424",424,"1985-02-27",1585.63753966721
"425",425,"1985-02-28",1460.56051775921
"426",426,"1985-03-01",1255.5181801912
"427",427,"1985-03-02",1073.86402436686
"428",428,"1985-03-03",937.358985948152
"429",429,"1985-03-04",835.094876716812
"430",430,"1985-03-05",760.087438148484
"431",431,"1985-03-06",704.335252124225
"432",432,"1985-03-07",657.566117988337
"433",433,"1985-03-08",616.924442625326
"434",434,"1985-03-09",580.266537545794
"435",435,"1985-03-10",547.025368343176
"436",436,"1985-03-11",517.104473350362
"437",437,"1985-03-12",490.201144650549
"438",438,"1985-03-13",463.579331409362
"439",439,"1985-03-14",437.773556219371
"440",440,"1985-03-15",413.121933587038
"441",441,"1985-03-16",389.807323522013
"442",442,"1985-03-17",367.685050917394
"443",443,"1985-03-18",346.584067488839
"444",444,"1985-03-19",326.838238623338
"445",445,"1985-03-20",309.091202163935
"446",446,"1985-03-21",292.998319229436
"447",447,"1985-03-22",281.985732041308
"448",448,"1985-03-23",324.479565813052
"449",449,"1985-03-24",372.662351899836
"450",450,"1985-03-25",386.644441174603
"451",451,"1985-03-26",404.569936568245
"452",452,"1985-03-27",388.04469493789
"453",453,"1985-03-28",353.932492391466
"454",454,"1985-03-29",319.20545057562
"455",455,"1985-03-30",291.561031576663
"456",456,"1985-03-31",268.606029766479
"457",457,"1985-04-01",249.082253844873
"458",458,"1985-04-02",232.307481816205
"459",459,"1985-04-03",217.642555209976
"460",460,"1985-04-04",204.401769900327
"461",461,"1985-04-05",191.965948210385
"462",462,"1985-04-06",180.711228165502
"463",463,"1985-04-07",170.00184998576
"464",464,"1985-04-08",160.626257754942
"465",465,"1985-04-09",156.092090575897
"466",466,"1985-04-10",153.627095499483
"467",467,"1985-04-11",149.208013966945
"468",468,"1985-04-12",143.650499450891
"469",469,"1985-04-13",137.06580466821
"470",470,"1985-04-14",130.499247495021
"471",471,"1985-04-15",123.805953688539
"472",472,"1985-04-16",117.487036922662
"473",473,"1985-04-17",116.952863455656
"474",474,"1985-04-18",119.549808468935
"475",475,"1985-04-19",117.336352160244
"476",476,"1985-04-20",112.778877229873
"477",477,"1985-04-21",107.056086834087
"478",478,"1985-04-22",100.921750971247
"479",479,"1985-04-23",94.8570853512202
"480",480,"1985-04-24",89.0511749789793
"481",481,"1985-04-25",83.7103844422971
"482",482,"1985-04-26",78.9855831497136
"483",483,"1985-04-27",74.5535237132617
"484",484,"1985-04-28",70.5566425770307
"485",485,"1985-04-29",67.2807400998545
"486",486,"1985-04-30",64.7809591137745
"487",487,"1985-05-01",62.2008954064901
"488",488,"1985-05-02",59.5303348469981
"489",489,"1985-05-03",90.2133230857995
"490",490,"1985-05-04",117.82201039309
"491",491,"1985-05-05",128.532275185794
"492",492,"1985-05-06",131.102968420008
"493",493,"1985-05-07",128.712042735898
"494",494,"1985-05-08",123.736260712836
"495",495,"1985-05-09",117.687616899943
"496",496,"1985-05-10",111.288496415831
"497",497,"1985-05-11",104.79492061231
"498",498,"1985-05-12",98.3082989959712
"499",499,"1985-05-13",94.6637836598342
"500",500,"1985-05-14",92.3136185718821
"501",501,"1985-05-15",87.5021145408911
"502",502,"1985-05-16",82.6996764408942
"503",503,"1985-05-17",79.3759544195185
"504",504,"1985-05-18",86.9400381680623
"505",505,"1985-05-19",97.7160031707876
"506",506,"1985-05-20",103.411040917641
"507",507,"1985-05-21",104.668091282873
"508",508,"1985-05-22",102.825013431018
"509",509,"1985-05-23",112.468178523244
"510",510,"1985-05-24",174.212856957395
"511",511,"1985-05-25",246.346997224773
"512",512,"1985-05-26",275.554110123998
"513",513,"1985-05-27",270.938041620804
"514",514,"1985-05-28",249.988203980098
"515",515,"1985-05-29",224.510994121506
"516",516,"1985-05-30",199.993009372112
"517",517,"1985-05-31",178.474710633064
"518",518,"1985-06-01",159.889826715129
"519",519,"1985-06-02",144.950375681979
"520",520,"1985-06-03",133.689861901183
"521",521,"1985-06-04",123.36008119958
"522",522,"1985-06-05",114.144078868193
"523",523,"1985-06-06",128.730784251748
"524",524,"1985-06-07",141.022970059099
"525",525,"1985-06-08",142.03498523445
"526",526,"1985-06-09",141.760870947384
"527",527,"1985-06-10",136.774770183707
"528",528,"1985-06-11",126.824032608461
"529",529,"1985-06-12",118.352615199695
"530",530,"1985-06-13",123.129788694738
"531",531,"1985-06-14",132.276688404771
"532",532,"1985-06-15",128.788356125103
"533",533,"1985-06-16",121.83617527654
"534",534,"1985-06-17",119.306327146956
"535",535,"1985-06-18",119.212618024958
"536",536,"1985-06-19",114.133446207996
"537",537,"1985-06-20",107.150754695177
"538",538,"1985-06-21",99.5713905221141
"539",539,"1985-06-22",91.9029888132665
"540",540,"1985-06-23",84.5024082630322
"541",541,"1985-06-24",78.1568897959426
"542",542,"1985-06-25",72.5577981751913
"543",543,"1985-06-26",67.6067223568382
"544",544,"1985-06-27",63.3588868883121
"545",545,"1985-06-28",59.5276449446363
"546",546,"1985-06-29",56.5648332145871
"547",547,"1985-06-30",62.9942207545024
"548",548,"1985-07-01",72.4926956248983
"549",549,"1985-07-02",76.8183828171465
"550",550,"1985-07-03",81.82403284279
"551",551,"1985-07-04",79.3070106813526
"552",552,"1985-07-05",75.7835830343152
"553",553,"1985-07-06",71.9997570037803
"554",554,"1985-07-07",73.7528527680178
"555",555,"1985-07-08",71.5374938994437
"556",556,"1985-07-09",68.5662254233866
"557",557,"1985-07-10",66.142286364825
"558",558,"1985-07-11",90.8934616768526
"559",559,"1985-07-12",91.1499357050888
"560",560,"1985-07-13",91.8731068855932
"561",561,"1985-07-14",100.536601051519
"562",562,"1985-07-15",99.9755685413391
"563",563,"1985-07-16",96.7731486665798
"564",564,"1985-07-17",114.140282863767
"565",565,"1985-07-18",109.985238656007
"566",566,"1985-07-19",100.996020180059
"567",567,"1985-07-20",92.249754104491
"568",568,"1985-07-21",84.3995293314715
"569",569,"1985-07-22",77.4384240816742
"570",570,"1985-07-23",73.3940395341194
"571",571,"1985-07-24",69.5585839945744
"572",572,"1985-07-25",73.2747325023638
"573",573,"1985-07-26",148.904371143023
"574",574,"1985-07-27",201.081742329019
"575",575,"1985-07-28",224.249800323816
"576",576,"1985-07-29",272.330121576604
"577",577,"1985-07-30",262.28477918131
"578",578,"1985-07-31",231.56239105275
"579",579,"1985-08-01",200.06014137608
"580",580,"1985-08-02",199.135206832471
"581",581,"1985-08-03",209.237262419011
"582",582,"1985-08-04",191.883628377208
"583",583,"1985-08-05",170.204536060184
"584",584,"1985-08-06",150.517084691612
"585",585,"1985-08-07",135.794898125025
"586",586,"1985-08-08",122.645452760849
"587",587,"1985-08-09",110.849262490387
"588",588,"1985-08-10",101.383436380869
"589",589,"1985-08-11",93.2250215353788
"590",590,"1985-08-12",85.8943049894189
"591",591,"1985-08-13",79.2910431730039
"592",592,"1985-08-14",73.2285852196032
"593",593,"1985-08-15",67.597968706884
"594",594,"1985-08-16",62.882020364987
"595",595,"1985-08-17",59.3757382024105
"596",596,"1985-08-18",69.4294830802185
"597",597,"1985-08-19",496.947575853914
"598",598,"1985-08-20",680.116849859569
"599",599,"1985-08-21",730.796778727355
"600",600,"1985-08-22",841.71017983098
"601",601,"1985-08-23",775.114649228823
"602",602,"1985-08-24",645.926248185061
"603",603,"1985-08-25",517.69196483712
"604",604,"1985-08-26",427.609268728768
"605",605,"1985-08-27",378.545547155799
"606",606,"1985-08-28",351.089050406505
"607",607,"1985-08-29",324.366270463563
"608",608,"1985-08-30",294.680213787265
"609",609,"1985-08-31",267.59811024217
"610",610,"1985-09-01",243.823786136119
"611",611,"1985-09-02",222.622578542968
"612",612,"1985-09-03",203.034343156244
"613",613,"1985-09-04",185.043063598691
"614",614,"1985-09-05",168.830082639788
"615",615,"1985-09-06",154.404122419053
"616",616,"1985-09-07",143.05696320347
"617",617,"1985-09-08",133.536173498321
"618",618,"1985-09-09",124.36156568251
"619",619,"1985-09-10",115.756665023865
"620",620,"1985-09-11",107.829255625773
"621",621,"1985-09-12",100.790228936041
"622",622,"1985-09-13",94.7349840948671
"623",623,"1985-09-14",89.4131245299096
"624",624,"1985-09-15",84.5612826114991
"625",625,"1985-09-16",80.0787985949169
"626",626,"1985-09-17",75.8429442165205
"627",627,"1985-09-18",72.1498467583882
"628",628,"1985-09-19",68.8773977192869
"629",629,"1985-09-20",67.034532368781
"630",630,"1985-09-21",63.4075077303331
"631",631,"1985-09-22",60.4323891476889
"632",632,"1985-09-23",62.5503597355824
"633",633,"1985-09-24",73.668045611822
"634",634,"1985-09-25",72.688975939962
"635",635,"1985-09-26",69.5934274196113
"636",636,"1985-09-27",1021.29692931694
"637",637,"1985-09-28",1060.88190879323
"638",638,"1985-09-29",747.144004687097
"639",639,"1985-09-30",512.509292233895
"640",640,"1985-10-01",365.246718359857
"641",641,"1985-10-02",277.196119425457
"642",642,"1985-10-03",289.985322101123
"643",643,"1985-10-04",354.722079371423
"644",644,"1985-10-05",433.371305293793
"645",645,"1985-10-06",428.955907205357
"646",646,"1985-10-07",379.425785479858
"647",647,"1985-10-08",321.234412839165
"648",648,"1985-10-09",275.682518433897
"649",649,"1985-10-10",238.346292754222
"650",650,"1985-10-11",207.992343315091
"651",651,"1985-10-12",183.973598039106
"652",652,"1985-10-13",165.25586964584
"653",653,"1985-10-14",150.547767690232
"654",654,"1985-10-15",139.923646469357
"655",655,"1985-10-16",141.705329440245
"656",656,"1985-10-17",144.675080030799
"657",657,"1985-10-18",142.315334000221
"658",658,"1985-10-19",137.270622058209
"659",659,"1985-10-20",130.734205551198
"660",660,"1985-10-21",128.464616276894
"661",661,"1985-10-22",175.5827876973
"662",662,"1985-10-23",301.985377279205
"663",663,"1985-10-24",380.40902018118
"664",664,"1985-10-25",376.726150174143
"665",665,"1985-10-26",333.596795648052
"666",666,"1985-10-27",291.832565789107
"667",667,"1985-10-28",257.252598410917
"668",668,"1985-10-29",228.349093719508
"669",669,"1985-10-30",204.973382143252
"670",670,"1985-10-31",186.210197246599
"671",671,"1985-11-01",243.352333524415
"672",672,"1985-11-02",651.390421373985
"673",673,"1985-11-03",940.186197637798
"674",674,"1985-11-04",7053.06991207905
"675",675,"1985-11-05",12264.9971443295
"676",676,"1985-11-06",10118.1374934066
"677",677,"1985-11-07",7501.70853299568
"678",678,"1985-11-08",5290.71702114241
"679",679,"1985-11-09",3613.47291333392
