"","X","date","mod.flow"
"275",275,"1984-10-01",428.724139064206
"276",276,"1984-10-02",522.929728877602
"277",277,"1984-10-03",522.081054936912
"278",278,"1984-10-04",484.833269526543
"279",279,"1984-10-05",455.247663234575
"280",280,"1984-10-06",430.83963090496
"281",281,"1984-10-07",412.011944596495
"282",282,"1984-10-08",397.753663866622
"283",283,"1984-10-09",386.12050124903
"284",284,"1984-10-10",375.223238531316
"285",285,"1984-10-11",363.805661050426
"286",286,"1984-10-12",353.333236419847
"287",287,"1984-10-13",343.778332859643
"288",288,"1984-10-14",334.794461599064
"289",289,"1984-10-15",325.97028226115
"290",290,"1984-10-16",317.388837402471
"291",291,"1984-10-17",310.102758446482
"292",292,"1984-10-18",301.305106460273
"293",293,"1984-10-19",292.489024800629
"294",294,"1984-10-20",284.700299261062
"295",295,"1984-10-21",278.547399818032
"296",296,"1984-10-22",311.976162956762
"297",297,"1984-10-23",387.976434154425
"298",298,"1984-10-24",443.085732485718
"299",299,"1984-10-25",452.764646960829
"300",300,"1984-10-26",450.633255407062
"301",301,"1984-10-27",434.700636473523
"302",302,"1984-10-28",417.686229181002
"303",303,"1984-10-29",414.544615168903
"304",304,"1984-10-30",440.127770781708
"305",305,"1984-10-31",454.562424606108
"306",306,"1984-11-01",447.214068875194
"307",307,"1984-11-02",431.291499149549
"308",308,"1984-11-03",414.040788683295
"309",309,"1984-11-04",407.498662938759
"310",310,"1984-11-05",418.47889828508
"311",311,"1984-11-06",436.788893515438
"312",312,"1984-11-07",447.660338546915
"313",313,"1984-11-08",444.169586517732
"314",314,"1984-11-09",432.571114471825
"315",315,"1984-11-10",419.320465790238
"316",316,"1984-11-11",501.442508656185
"317",317,"1984-11-12",598.197842002027
"318",318,"1984-11-13",645.927709966861
"319",319,"1984-11-14",663.171573593171
"320",320,"1984-11-15",620.747202639852
"321",321,"1984-11-16",565.515152399485
"322",322,"1984-11-17",518.975230378892
"323",323,"1984-11-18",484.327002318071
"324",324,"1984-11-19",475.068866780744
"325",325,"1984-11-20",475.969104955943
"326",326,"1984-11-21",473.364808890345
"327",327,"1984-11-22",465.183596147532
"328",328,"1984-11-23",453.94814995331
"329",329,"1984-11-24",441.891272683909
"330",330,"1984-11-25",430.052087313854
"331",331,"1984-11-26",418.65013250621
"332",332,"1984-11-27",407.81051694911
"333",333,"1984-11-28",522.293690747081
"334",334,"1984-11-29",1038.68980991619
"335",335,"1984-11-30",1236.57206611318
"336",336,"1984-12-01",1085.71149501572
"337",337,"1984-12-02",951.765802645397
"338",338,"1984-12-03",862.705666667702
"339",339,"1984-12-04",814.124788048967
"340",340,"1984-12-05",777.405687229391
"341",341,"1984-12-06",768.25623824934
"342",342,"1984-12-07",737.923949589114
"343",343,"1984-12-08",707.786804765825
"344",344,"1984-12-09",693.279389005402
"345",345,"1984-12-10",694.830847140742
"346",346,"1984-12-11",746.654040827738
