"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",15.2,0,-100
"Med. 1 Day Min",47,29.5,-37.2
"Min. 3 Day Min",15.9,-1.44e-13,-100
"Med. 3 Day Min",47.7,29.7,-37.7
"Min. 7 Day Min",17.7,-1.12e-15,-100
"Med. 7 Day Min",50.9,31.4,-38.3
"Min. 30 Day Min",25.9,0.146,-99.4
"Med. 30 Day Min",57.9,45.1,-22.1
"Min. 90 Day Min",34.8,10.6,-69.5
"Med. 90 Day Min",86,79.3,-7.79
"7Q10",26.2,5.09e-05,-100
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",77.6441095890411,39.8677460462845,-48.7
"Mean Baseflow",136,155,14
