"","OBJECTID","Major","Minor","UniqID","DSID","Flow","RiverSeg","TidalWater","MajMin","Region","Watershed","MajBas","MinBas","RiverSimu","RiverName","CBSEG_92","Group","color"
"0","1","E","L","4400","4590","2","EL2_4400_4590","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Marshyhope Creek","NANOH",NA,NA
"1","2","E","L","4560","4562","0","EL0_4560_4562","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Nanticoke River Gravelly fork","NANTF_DE",NA,NA
"2","3","E","L","4561","4562","0","EL0_4561_4562","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Deep Creek","NANTF_DE",NA,NA
"3","4","E","L","4562","1","0","EL0_4562_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Nanticoke River","NANTF_DE",NA,NA
"4","5","E","L","4590","1","2","EL2_4590_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Marshyhope Creek","NANOH",NA,NA
"5","6","E","L","4591","0","0","EL0_4591_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Marshyhope Creek","NANOH",NA,NA
"6","7","E","L","4591","0","0","EL0_4591_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Marshyhope Creek",NA,NA,NA
"7","8","E","L","4592","0","0","EL0_4592_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANOH",NA,NA
"8","9","E","L","4592","0","0","EL0_4592_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"9","10","E","L","4593","0","0","EL0_4593_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANOH",NA,NA
"10","11","E","L","4593","0","0","EL0_4593_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"11","12","E","L","4594","0","0","EL0_4594_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANOH",NA,NA
"12","13","E","L","4594","0","0","EL0_4594_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"13","14","E","L","4595","0","0","EL0_4595_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANMH",NA,NA
"14","15","E","L","4595","0","0","EL0_4595_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"15","16","E","L","4596","0","0","EL0_4596_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANMH",NA,NA
"16","17","E","L","4596","0","0","EL0_4596_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"17","18","E","L","4630","0","2","EL2_4630_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Nanticoke River","NANTF_DE",NA,NA
"18","19","E","L","4630","0","2","EL2_4630_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Nanticoke River",NA,NA,NA
"19","20","E","L","4631","0","0","EL0_4631_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANTF_DE",NA,NA
"20","21","E","L","4632","0","0","EL0_4632_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANTF_DE",NA,NA
"21","22","E","L","4633","0","0","EL0_4633_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANTF_DE",NA,NA
"22","23","E","L","4633","0","0","EL0_4633_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"23","24","E","L","5040","0","0","EL0_5040_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","NANOH",NA,NA
"24","25","E","L","5040","0","0","EL0_5040_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"25","26","E","L","5110","5270","2","EL2_5110_5270","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Pocomoke River","POCTF",NA,NA
"26","27","E","L","5150","1","1","EL1_5150_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Chicamwicomico River","FSBMH",NA,NA
"27","28","E","L","5151","0","0","EL0_5151_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Chicamwicomico River","FSBMH",NA,NA
"28","29","E","L","5151","0","0","EL0_5151_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Chicamwicomico River",NA,NA,NA
"29","30","E","L","5270","1","2","EL2_5270_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Pocomoke River","POCTF",NA,NA
"30","31","E","L","5271","0","0","EL0_5271_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Pocomoke River","POCTF",NA,NA
"31","32","E","L","5271","0","0","EL0_5271_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Pocomoke River",NA,NA,NA
"32","33","E","L","5280","0","0","EL0_5280_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","FSBMH",NA,NA
"33","34","E","L","5280","0","0","EL0_5280_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"34","35","E","L","5281","0","0","EL0_5281_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","FSBMH",NA,NA
"35","36","E","L","5281","0","0","EL0_5281_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"36","37","E","L","5282","0","0","EL0_5282_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"37","38","E","L","5283","0","0","EL0_5283_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","FSBMH",NA,NA
"38","39","E","L","5283","0","0","EL0_5283_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"39","40","E","L","5284","0","0","EL0_5284_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"40","41","E","L","5400","1","0","EL0_5400_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Wicomico River","WICMH",NA,NA
"41","42","E","L","5430","1","1","EL1_5430_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Nassawango Creek","POCTF",NA,NA
"42","43","E","L","5570","1","1","EL1_5570_0001","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Simulated River","Dividing Creek","POCTF",NA,NA
"43","44","E","L","5590","0","0","EL0_5590_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"44","45","E","L","5660","0","1","EL1_5660_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Nassawango Creek","POCTF",NA,NA
"45","46","E","L","5760","0","0","EL0_5760_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","WICMH",NA,NA
"46","47","E","L","5760","0","0","EL0_5760_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"47","48","E","L","5761","0","0","EL0_5761_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","WICMH",NA,NA
"48","49","E","L","5761","0","0","EL0_5761_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"49","50","E","L","5762","0","0","EL0_5762_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","WICMH",NA,NA
"50","51","E","L","5763","0","0","EL0_5763_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","WICMH",NA,NA
"51","52","E","L","5763","0","0","EL0_5763_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"52","53","E","L","5870","0","3","EL3_5870_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Pocomoke River","POCTF",NA,NA
"53","54","E","L","5870","0","3","EL3_5870_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Pocomoke River",NA,NA,NA
"54","55","E","L","5890","0","0","EL0_5890_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"55","56","E","L","5891","0","0","EL0_5891_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","MANMH",NA,NA
"56","57","E","L","5891","0","0","EL0_5891_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"57","58","E","L","5892","0","0","EL0_5892_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","MANMH",NA,NA
"58","59","E","L","5892","0","0","EL0_5892_0000","Y","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation",NA,NA,NA
"59","60","E","L","5893","0","0","EL0_5893_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Drains to Tidal Water - No River Simulation","MANMH",NA,NA
"60","61","E","L","5972","0","3","EL3_5972_0000","N","EL","Chesapeake Bay Watershed","Eastern Shore of Chesapeake Bay","Eastern Shore of Chesapeake Bay","Lower Eastern Shore","Direct Drainage, CB","Pocomoke River","POCOH_VA",NA,NA
