"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","WA_mgd_30"
"1",1,"Back Creek","JU1_6290_6590",0,0,0.056,0.056,0.05,0.006,0,0,0,0.006
"2",2,"Back Creek - Bath County Lower Dam","JU1_6590_6600",0.009,0,4.848,1.092,0.983,3.866,7912.425,11469.22,19381.645,649.92
"3",3,"Bath County Pump Store - Upper","JU1_6591_6590",0,0,1.293,0.97,0.873,0.42,11469.22,0,11469.22,382.728
"4",4,"Back Creek","JU2_6600_6810",0.009,0.009,6.342,2.184,1.965,4.376,0,19410.961,19410.961,651.408
"5",5,"Little Back Creek","JU2_6602_6600",0,0,1.292,0.97,0.873,0.42,29.316,0,29.316,1.397
"6",6,"Back Creek","JU2_6810_6900",0.009,0.009,6.36,2.213,1.992,4.368,0,19410.961,19410.961,651.4
"7",7,"Dunlap Creek","JU2_7140_7330",0,0,1.137,1.002,0.902,0.235,0,0,0,0.235
"8",8,"Potts Creek","JU2_7360_7000",2.332,2.332,1.228,0.978,0.88,0.348,0,0,0,0.348
"9",9,"Potts Creek","JU2_7450_7360",2.332,2.332,1.146,0.902,0.811,0.334,0,0,0,0.334
"10",10,"Jackson River","JU3_6380_6900",3.578,0,0.45,0.863,0.777,-0.326,0,0,0,-0.326
"11",11,"Gathright Dam","JU3_6900_6950",3.568,3.626,51.713,4.068,3.661,48.052,19276.88,19410.961,38687.841,1337.647
"12",12,"Jackson River","JU3_6950_7330",45.033,3.645,34.763,5.411,4.87,29.893,0,38687.841,38687.841,1319.488
"13",13,"0","JU3_6951_6950",0,0,0,0.059,0.053,-0.054,0,0,0,-0.054
"14",14,"James River","JU4_7000_7300",48.853,43.267,108.494,17.853,16.067,92.427,0,38687.841,38687.841,1382.022
"15",15,"Jackson River","JU4_7330_7000",45.033,40.935,94.447,10.528,9.476,84.971,0,38687.841,38687.841,1374.566
