"","Num","Propname","Riverseg","wd_cumulative_mgd","ps_cumulative_mgd","l30_Qout_mgd","l30_Qout_base_mgd","l30_Qout_mif_mgd","Qavailable_30_mgd","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","WA_mgd_30"
"1",1,"Savage River","PU1_3850_4190",0,0,1.476,0.833,0.75,0.726,0,0,0,0.726
"2",2,"Georges Creek","PU1_3940_3970",0,0,1.467,0.779,0.701,0.765,0,0,0,0.765
"3",3,"Savage River Dam","PU1_4190_4300",0,0,4.629,2.142,1.928,2.701,1555.578,0,1555.578,54.554
"4",4,"Savage River","PU1_4300_4440",0,0,5.166,2.55,2.295,2.871,0,1555.578,1555.578,54.723
"5",5,"Stony River","PU1_4760_4451",0,0,2.599,2.592,2.332,0.266,0,0,0,0.266
"6",6,"Mt. Storm Power Station Dam/Stony River Dam","PU1_4840_4760",0,0,2.403,2.397,2.157,0.246,0,0,0,0.246
"7",7,"Potomac River North Branch","PU2_4720_4750",0,0,4.188,4.179,3.761,0.427,0,0,0,0.427
"8",8,"Potomac River North Branch","PU2_4750_4451",0,0,4.736,4.726,4.253,0.482,0,0,0,0.482
"9",9,"North Branch Potomac below Bloomington/Jennings Randolph","PU3_4450_4440",0,0,25.459,11.78,10.602,14.858,0,25746.2,25746.2,873.064
"10",10,"Bloomington/Jennings Randolph","PU3_4451_4450",0,0,24.531,10.99,9.891,14.641,25746.2,0,25746.2,872.847
"11",11,"Potomac River North Branch","PU4_3970_3890",0,0,44.259,22.619,20.358,23.901,0,27301.778,27301.778,933.96
"12",12,"Potomac River North Branch","PU4_4440_3970",0,0,34.779,16.319,14.687,20.091,0,27301.778,27301.778,930.15
