"","Propname","Riverseg","wd_cu_mgd","ps_cu_mgd","l30_Qout","l30_Qout_base","l30_Qout_mif","Qavailable_30_cfs","l90_Qout","l90_Qout_base","l90_Qout_mif","Qavailable_90_cfs","SminL30mg_local","SminL30mg_upstream","SminL30mg_total","SminL90mg_local","SminL90mg_upstream","SminL90mg_total","WA_mgd_30","WA_mgd_90"
"1","Appomatox River","JA4_7470_7480",1.7,1.167,14.912,15.699,14.129,0.783,50.767,44.798,40.318,10.449,0,0,0,0,0,0,0.506,6.754
"2","West Creek (Deep Creek, Appomattox)","JA2_7570_7480",0.325,0.004,1.387,1.387,1.248,0.138,9.394,6.86,6.174,3.22,0,0,0,0,0,0,0.09,2.081
"3","Appomatox River","JA4_7340_7470",1.636,1.167,13.433,14.303,12.873,0.56,42.916,38.207,34.387,8.529,0,0,0,0,0,0,0.362,5.514
"4","Appomatox River above Farmville VA","JA2_7550_7280",1.314,0,4.7,6.671,6.004,-1.304,18.761,17.32,15.588,3.173,0,0,0,0,0,0,-0.843,2.051
"5","West Creek (Deep Creek, Appommattox)","JA1_7600_7570",0.325,0,1.08,1.086,0.978,0.102,7.412,5.297,4.767,2.644,0,0,0,0,0,0,0.066,1.709
"6","Appomatox River","JA4_7280_7340",1.636,0.97,12.999,26.101,23.491,-10.492,42.049,86.053,77.447,-35.399,0,0,0,0,0,0,-6.782,-22.882
"7","Bush River","JA1_7640_7280",0.061,0,2.539,2.015,1.813,0.726,8.256,6.016,5.414,2.842,0,0,0,0,0,0,0.469,1.837
"8","Flat Creek","JA2_7410_7470",0,0,0.969,0.97,0.873,0.097,6.168,4.671,4.204,1.964,0,0,0,0,0,0,0.062,1.269
"9","George F. Brasfield Dam","JA5_7480_0001",35.789,1.171,18.408,18.901,17.011,1.398,54.053,57.124,51.411,2.642,6404.519,0,6404.519,6404.519,0,6404.519,214.387,72.869
"10","Jackson River","JU4_7330_7000",45.033,40.935,146.109,16.287,14.659,131.45,167.911,43.791,39.412,128.499,0,43493.542,43493.542,0,43481.743,43481.743,1534.756,566.325
"11","James River","JU4_7000_7300",48.853,43.267,167.841,27.618,24.856,142.985,206.621,74.146,66.731,139.89,0,43493.542,43493.542,0,43481.743,43481.743,1542.212,573.688
